E_center_GeV,Muon_Aeff_m2,Tau_Aeff_m2
110.0,11.72052977638701,0
150.0,21.993489342434618,0
200.0,65.95119744985473,0
220.0,64.78945382765114,0
380.0,141.75026583522387,0
450.0,347.5156310323326,0
700.0,459.29650264953256,0
1100.0,475.27988138552996,0
2000.0,554.4820567620224,0
3000.0,388.0046941554588,0
7000.0,199.86149061987985,0
9000.0,179.12784510913895,0
20000.0,89.67579684143193,0
30000.0,100.2371410213791,0
45000.0,78.44623468419505,0
70000.0,45.74887473464438,0
150000.0,24.11496663524563,0
300000.0,17.291449329845015,0
500000.0,9.470916849913703,0
1000000.0,8.065149146252075,0
4000000.0,7.562326904682501,2.26869807140475
