fe,fmu,ftau,chi2,ndof,shape_normalized
0.0,0.0,1.0,0.44399297586681385,25,True
0.0,0.0333333333,0.9666666666666667,0.3474151239513907,25,True
0.0,0.0666666667,0.9333333333333333,0.26738453061687073,25,True
0.0,0.1,0.9,0.20155789886124229,25,True
0.0,0.1333333333,0.8666666666666667,0.14795437020224692,25,True
0.0,0.1666666667,0.8333333333333334,0.10489284649301811,25,True
0.0,0.2,0.8,0.070941356621748,25,True
0.0,0.2333333333,0.7666666666666666,0.04487592280228583,25,True
0.0,0.2666666667,0.7333333333333333,0.025646968317279938,25,True
0.0,0.3,0.7,0.012351745330478446,25,True
0.0,0.3333333333,0.6666666666666666,0.004211596502549716,25,True
0.0,0.3666666667,0.6333333333333333,0.0005531193145495697,25,True
0.0,0.4,0.6,0.0007924962334578704,25,True
0.0,0.4333333333,0.5666666666666667,0.004422405999448901,25,True
0.0,0.4666666667,0.5333333333333333,0.011001048914465357,25,True
0.0,0.5,0.5,0.02014291084744745,25,True
0.0,0.5333333333,0.4666666666666667,0.03151096360567008,25,True
0.0,0.5666666667,0.43333333333333335,0.04481005623417965,25,True
0.0,0.6,0.4,0.059781297677251446,25,True
0.0,0.6333333333,0.36666666666666664,0.07619726784788923,25,True
0.0,0.6666666667,0.3333333333333333,0.09385792285229566,25,True
0.0,0.7,0.3,0.11258708419229801,25,True
0.0,0.7333333333,0.26666666666666666,0.1322294208761034,25,True
0.0,0.7666666667,0.23333333333333334,0.15264784837702153,25,True
0.0,0.8,0.2,0.17372128157918534,25,True
0.0,0.8333333333,0.16666666666666666,0.19534268914770317,25,True
0.0,0.8666666667,0.13333333333333333,0.21741740489756067,25,True
0.0,0.9,0.1,0.23986165923044778,25,True
0.0,0.9333333333,0.06666666666666667,0.2626012994038164,25,True
0.0,0.9666666667,0.03333333333333333,0.2855706720027351,25,True
0.0,1.0,0.0,0.3087116453322951,25,True
0.0333333333,0.0,0.9666666666666667,0.44385689253341004,25,True
0.0333333333,0.0333333333,0.9333333333333333,0.34619095742727185,25,True
0.0333333333,0.0666666667,0.9,0.2654572002686302,25,True
